,MatchID,Date,VS,A,B,C,D,E,F,G
44,1250119,2017-08-06 21:30:00,菲尔特VS比勒费尔德,279,2157275,1080530,0,0.500877264141,1076745,0.500877264141
45,1237196,2017-08-07 06:00:00,庞特普雷塔VS瓦斯科达伽马,408,1083457,191057,0,0.176340177783,892400,0.176340177783
46,1184203,2017-08-06 23:30:00,天狼星竞技VS索尔纳,301,488549,464135,0,0.950027530504,24414,0.950027530504
47,1250124,2017-08-06 19:30:00,雷根斯堡VS纽伦堡,624,11266135,22243352,0,1.97435518037,-10977217,1.97435518037
48,1250125,2017-08-06 21:30:00,奥厄VS杜塞尔多夫,227,758501,307844,0,0.405858397023,450657,0.405858397023
49,1237198,2017-08-07 06:00:00,阿瓦伊VS桑托斯,530,3010470,939809,0,0.312180157916,2070661,0.312180157916
50,1237197,2017-08-07 03:00:00,巴伊亚VS圣保罗,132,545646,539232,0,0.988245125961,6414,0.988245125961
51,1252003,2017-08-07 07:30:00,韦拉克鲁斯VS普埃布拉,372,850596,870457,0,1.02334951023,-19861,1.02334951023
52,1248946,2017-08-06 08:06:00,莱昂VS蓝十字,233,1563285,1699663,0,1.08723809158,-136378,1.08723809158
53,1243355,2017-08-06 21:00:00,阿森纳VS切尔西,1204,6081518,4808789,0,0.790721823071,1272729,0.790721823071
54,1239520,2017-08-06 02:30:00,多特蒙德VS拜仁慕尼黑,780,3025193,2945400,0,0.973623831603,79793,0.973623831603
55,1208033,2017-08-07 06:08:00,纽约城VS纽约红牛,388,1575327,1179330,0,0.748625523463,395997,0.748625523463
56,1243674,2017-08-06 03:45:00,本菲卡VS甘马雷斯,234,226738,221756,0,0.978027503109,4982,0.978027503109
57,1208036,2017-08-06 08:00:00,明尼苏达联VS西雅图海湾者,203,1067237,147291,0,0.138011519466,919946,0.138011519466
58,1208038,2017-08-06 07:30:00,蒙特利尔冲击VS奥兰多城,490,5863124,12057485,0,2.05649496753,-6194361,2.05649496753
59,1249126,2017-08-06 21:00:00,里尔VS南特,1715,18744257,23907145,1277074,1.27543839161,-6439962,1.34356987316
60,1249127,2017-08-06 02:00:00,梅斯VS甘冈,1233,11039968,10333362,960575,0.935995647813,-253969,1.02300450509
61,1249128,2017-08-07 03:00:00,马赛VS第戎,1583,16666899,17662423,1132838,1.05973060736,-2128362,1.12769993986
62,1249129,2017-08-06 02:00:00,里昂VS斯特拉斯堡,1282,5038259,4807306,416926,0.954160157308,-185973,1.03691215557
63,1249131,2017-08-06 02:00:00,蒙彼利埃VS卡昂,638,2497730,3127906,184598,1.25229948794,-814774,1.32620579486
64,1249132,2017-08-05 23:15:00,巴黎圣日耳曼VS亚眠,1859,6018467,2395746,206757,0.398065819751,3415964,0.432419584589
65,1249133,2017-08-06 02:00:00,圣埃蒂安VS尼斯,754,4393560,3418429,149829,0.778054470634,825302,0.812156428955
66,1249134,2017-08-06 02:00:00,特鲁瓦VS雷恩,503,3051522,3047993,169892,0.998843527918,-166363,1.05451804051
67,1255976,2017-08-07 03:15:00,塞图巴尔VS莫雷伦斯,125,2600990,2722838,0,1.04684677757,-121848,1.04684677757
68,1202290,2017-08-07 08:20:00,堪萨斯城VS亚特兰大联,746,3836429,4511452,0,1.17595086472,-675023,1.17595086472
69,1202291,2017-08-06 08:30:00,芝加哥火焰VS新英格兰革命,313,1101154,1309372,0,1.18909071756,-208218,1.18909071756
70,1232635,2017-08-06 19:35:00,广州富力VS辽宁宏运,916,3555639,3140797,0,0.883328425636,414842,0.883328425636
71,1251121,2017-08-06 06:00:00,埃斯帕诺拉VS卡特立卡,145,576283,597129,0,1.03617319963,-20846,1.03617319963
